"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 26 13:36:08 GMT 2023","Fri May 26 13:36:09 GMT 2023","1428","","Game: Preloader modal","","","","close and start the game",""
"passed","Fri May 26 13:36:27 GMT 2023","Fri May 26 13:36:30 GMT 2023","3293","","Game: Cere Wallet Authentication","","","","should be closed",""
"passed","Fri May 26 13:36:05 GMT 2023","Fri May 26 13:36:08 GMT 2023","2776","","Game","","","","""before all"" hook for Game",""
"passed","Fri May 26 13:36:16 GMT 2023","Fri May 26 13:36:19 GMT 2023","2675","","Game: Connect Wallet Modal","","","","click claim tokens button",""
"passed","Fri May 26 13:36:44 GMT 2023","Fri May 26 13:36:46 GMT 2023","2116","","Game: Cere Wallet Approve","","","","should reload the page and show Preloader",""
"passed","Fri May 26 13:36:43 GMT 2023","Fri May 26 13:36:44 GMT 2023","563","","Game: Cere Wallet Approve","","","","should be closed",""
"passed","Fri May 26 13:36:33 GMT 2023","Fri May 26 13:36:42 GMT 2023","9530","","Game: Leaderboard Modal","","","","start new game session",""
"passed","Fri May 26 13:36:33 GMT 2023","Fri May 26 13:36:33 GMT 2023","35","","Game: Leaderboard Modal","","","","should have wallet address",""
"passed","Fri May 26 13:36:43 GMT 2023","Fri May 26 13:36:43 GMT 2023","596","","Game: Cere Wallet Approve","","","","confirm transaction",""
"passed","Fri May 26 13:36:21 GMT 2023","Fri May 26 13:36:22 GMT 2023","1098","","Game: Cere Wallet Authentication","","","","start new wallet creation",""
"passed","Fri May 26 13:36:24 GMT 2023","Fri May 26 13:36:27 GMT 2023","3540","","Game: Cere Wallet Authentication","","","","enter OTP and proceed",""
"passed","Fri May 26 13:36:22 GMT 2023","Fri May 26 13:36:24 GMT 2023","1435","","Game: Cere Wallet Authentication","","","","enter new email and proceed",""
"passed","Fri May 26 13:36:33 GMT 2023","Fri May 26 13:36:33 GMT 2023","60","","Game: Leaderboard Modal","","","","should have active list item",""
"passed","Fri May 26 13:36:19 GMT 2023","Fri May 26 13:36:20 GMT 2023","1602","","Game: Connect Wallet Modal","","","","should disbale clame button",""
